,Instrument,Date,Price Close,Rebased,Price Close_high,Rebased_high
0,.N225,2014-03-31,14827.83,100.0,31591.681718999997,100.0
1,.N225,2014-06-30,15162.1,102.25434200419078,33523.764907,106.11579720631966
2,.N225,2014-09-30,16173.52,109.07543450390246,35279.664894,111.67390583319902
3,.N225,2014-12-30,17450.77,117.68930450376084,37791.86457400001,119.6259981033902
4,.N225,2015-03-31,19206.99,129.53338418366008,39706.997111000004,125.68813988499784
5,.N225,2015-06-30,20235.73,136.47128406516666,40477.04678,128.12564756771442
6,.N225,2015-09-30,17388.15,117.26699051715593,33355.247419499996,105.58237360133744
7,.N225,2015-12-30,19033.71,128.36477083969805,36164.897232,114.47601160861774
8,.N225,2016-03-31,16758.67,113.02173008457743,30738.41625,97.29908183872712
9,.N225,2016-06-30,15575.92,105.04517518746843,28445.149622,90.039998107769
10,.N225,2016-09-30,16449.84,110.9389573524919,30517.61622,96.60016358561239
11,.N225,2016-12-30,19114.37,128.90874794221406,35357.249464,111.91949127144854
12,.N225,2017-03-31,18909.26,127.52547068586568,58618.564794,185.55063106610555
13,.N225,2017-06-30,20033.43,135.10695766002172,63171.498098,199.96244156893724
14,.N225,2017-09-29,20356.28,137.28428232586967,65451.197971999994,207.1785812296155
15,.N225,2017-12-29,22764.94,153.52846640405238,72842.414204,230.5746647231851
16,.N225,2018-03-30,21454.3,144.6894117345559,92759.55726500001,293.62019436025207
17,.N225,2018-06-29,22304.51,150.42329187750332,97078.906443,307.2926199576594
18,.N225,2018-09-28,24120.04,162.66736265522331,103991.372269,329.17327160350914
19,.N225,2018-12-28,20014.77,134.9811132175106,84515.29091799998,267.5238743848526
20,.N225,2019-03-29,21205.81,143.01357649770736,116211.00407,367.8531744643018
21,.N225,2019-06-28,21275.92,143.48640360727092,110315.004783,349.19003604880555
22,.N225,2019-09-30,21755.84,146.72302015871506,112162.20250099999,355.0371376194986
23,.N225,2019-12-30,23656.62,159.54202334394176,121855.017848,385.71868041679295
24,.N225,2020-03-31,18917.01,127.57773726836629,121204.3019055,383.6589105435461
25,.N225,2020-06-30,22288.14,150.31289136711172,133473.198777,422.49475657614653
26,.N225,2020-09-30,23185.12,156.36219190535635,135955.2822305,430.35151923784167
27,.N225,2020-12-30,27444.17,185.0855452213844,144574.07739000002,457.633369049327
28,.N225,2021-03-31,29178.8,196.78402031854964,215534.124402,682.2496070931627
29,.N225,2021-06-30,28791.53,194.17224233080634,215269.64076,681.4124131623283
30,.N225,2021-09-30,29452.66,198.63095274224213,219733.305378,695.541653440523
31,.N225,2021-12-30,28791.71,194.17345626433539,211142.023096,668.3468926220984
32,.N225,2022-03-31,27821.43,187.6298150167624,229605.771415,726.7918607729881
33,.N225,2022-06-30,26393.04,177.99664549701473,220443.776163,697.7905707071612
34,.N225,2022-09-30,25937.21,174.92249371620798,217455.74740000002,688.3322937164719
35,.N225,2022-12-30,26094.5,175.98326929833968,224168.61198299998,709.5811295420199
36,.N225,2023-03-31,28041.48,189.1138487560216,234494.384431,742.2662285495535
37,.N225,2023-06-30,33189.04,223.8293802936775,273318.81549300003,865.1607025042276
38,.N225,2023-09-29,31857.62,214.85018374232777,268590.385188,850.1933755127169
39,.N225,2023-12-29,33464.17,225.6848776928249,273681.421241,866.3084911886834
